objectid,filename,youtubeid,vimeoid,title,Creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
ArtWork_001,,MNOuqpLLtWE,,SA ISANG SULYAP MO TITA,Director & Writer: Armando Garces,circa 1953,"Sa isang sulyap mo Tita"" dubbed as one of the biggest and spectacular musical movies in the 50s and starring the country's popular reel-and real life sweetheart and husband-and-wife tandem in Philippine movie, Pancho Magalona and Tita Duran. With the backdrop and setting in the life in the navy. It looks of two Hollwood musical classics - ""Anchors Aweigh"" (1945) and ""On the Town"" (1949). Pancho Magalona and Dolphy as navy men or sailors, ala-Frank Sinatra and Gene Kelly, are in days of and they're out to have lots of fun, singing, dancing and drinking. As they say, They're out to ""paint the town red",Movie,"Cavite city, Cavite, Philippines",14° 29.04' N,120° 54.02' E,Dolphy Films,RvQSr_01001,Video,video/mp4,Filipino,Copyright © 1953 Sampaguita Pictures. All rights reserved.,https://www.youtube.com/watch?v=MNOuqpLLtWE
ArtWork_002,,bViHPmvmPfM,,DALAGANG ILOCANA,Director:Olive La Torre / Writer: T.D. Agcaoili; Luciano B. Carlos; Conrado Conde,circa 1954,"Dalagang Ilocana is a 1954 Filipino romantic comedy film directed by Olive La Torre from a screenplay by Luciano B. Carlos, Conrado Conde, and Willie P. Orfinada, based on a story written by T. D. Agcaoili, who also wrote additional lyrics with Conde. It stars Gloria Romero, Ric Rodrigo, and Rudy Francisco, while the supporting cast includes Dolphy and Rebecca del Rio.",Movie,"Agoo, La Union, Philippines",16.32° N,120.36° E,Dolphy Films,RvQSr_01002,Video,video/mp4,Filipino & Ilocano,Copyright © 1954 Sampaguita Pictures. All rights reserved.,https://www.youtube.com/watch?v=bViHPmvmPfM
ArtWork_003,,U8__8wl27sg,,JACK AND JILL,"Director: Mar S. Torres  / Writers: Mars Ravelo, Luciano B. Carlos ",circa 1954,"a Filipino comedy film starring Dolphy, Lolita Rodriguez, and Rogelio de la Rosa. Directed by Mar S. Torres and written by Mars Ravelo and Luciano B. Carlos, the film is about siblings Benita (Lolita Rodriguez) and Gorio (Dolphy), who take on unconventional roles to support their father. Benita works as a jeepney driver, while Gorio handles the household chores and prefers to be called ""Glory"". Dolphy gained fame for this role after being typecasted .",Movie,Philippines,,,Dolphy Films,RvQSr_01003,Video,video/mp4,Filipino,Copyright © 1954 Sampaguita Pictures. All rights reserved.,https://www.youtube.com/watch?v=U8__8wl27sg
ArtWork_004,https://upload.wikimedia.org/wikipedia/en/c/cf/Hongkong_Holiday_1957_poster.jpeg?raw=true,,,HONGKONG HOLIDAY,Director: Mar S. Torres /Writer: Luciano B. Carlos,1957-01-28,"Hongkong Holiday (1957) is a Filipino musical romantic comedy starring Gloria Romero and Dolphy, produced by Sampaguita Pictures. The plot follows Ana, a wealthy heiress who flees an arranged marriage and hides among a poor family of boat rowers. It is a classic, heartwarming film focused on romance and overcoming social class struggles.",Movie,Hongkong,22.3193° N,114.1694° E,Dolphy Films,RvQSr_01004,Image;Still image,Image/jpg,Filipino,Copyright © 1954 Sampaguita Pictures. All rights reserved.,
